ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
34,Tachysurus dussumieri,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0547,Mangalore,SW,1982,1983,"TRAWL,PS, GILLNET",14.6,5,C,0.25,1,0.22,0,0,0,0,0,0,0,0,0,0,108,165,165,1,0,0,0,0,0,0,850,2,0,0,0,0,0,0,580,0.6823529412,3,DEC-MAR,4,5,68,5,3.44,4,4.347826087,2,662.8,6,4,38
34,Tachysurus dussumieri,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0547,Veraval,NW,1981,1982,TRAWL,14.6,5,C,0.25,1,0.22,2.12,2.34,0,0.9059829,6,0,0,0,0,0,108,165,165,1,0,0,0,0,0,120,850,2,0,0,0.1411764706,6,0,0,580,0.6823529412,3,,0,0,68,5,3.44,4,4.347826087,2,662.8,6,4,45
34,Tachysurus jella,LD,"Raje et  al. 2008, IJF 55(4)",ARIIDAE,0548,Mumbai,NW,1987,2003,Trawlnet,14.4,5,C,0.65,3,3.2,3.2,4.36,0,0.733945,5,0,0,0,0,0,25,120,73,1,0,0,0,0,0,180,518,4,0,0,0.3474903475,4,0,0,280,0.5405405405,6,"MAY,AUG,OCT,NOV",4,5,100,6,3.44,4,4,2,298.6,4,4,53
34,Tachysurus tenuispinis,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0553,waltair,SE,1974,1976,TRAWL,14.4,5,C,0.78,3,0.76,1.83,0,0,0.71,5,0,0,0,0,0,0,0,82,1,0,0,0,0,0,310,560,4,0,0,0.5535714286,2,0,0,275,0.4910714286,6,,0,0,100,6,3.44,4,4.166666667,2,81.5,1,4,43
34,Tachysurus tenuispinis,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0553,Cochin,SW,1981,1981,"TRAWL,PS, GILLNET",14.4,5,C,0.78,3,0.76,2.28,0,0,0.75,5,0,0,0,0,0,0,0,82,1,0,0,0,0,0,310,560,4,0,0,0.5535714286,2,0,0,275,0.4910714286,6,"JUL,AUG",2,6,100,6,3.44,4,4.166666667,2,662.8,6,4,54
34,Tachysurus tenuispinis,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0553,Mangalore,SW,1982,1983,"TRAWL,PS, GILLNET",14.4,5,C,0.78,3,0.76,2,0,0,0.72,5,0,0,0,0,0,0,0,82,1,0,0,0,0,0,310,560,4,0,0,0.5535714286,2,0,0,275,0.4910714286,6,"JUL,AUG",2,6,100,6,3.44,4,4.166666667,2,662.8,6,4,54
34,Tachysurus tenuispinis,LD,"IJF 1992,39(1&2) Menon et al",ARIIDAE,0553,Gujarat,NW,1984,1986,"Trawl,Gillnet",14.4,5,C,0.78,3,0.78,1.23,2.01,0,0.6119403,4,0,0,0,0,0,29,82,82,1,0,0,0,0,0,310,560,4,0,0,0.5535714286,2,0,0,275,0.4910714286,6,"Jul,Aug",2,6,100,6,3.44,4,4.166666667,2,298.6,4,4,51
34,Tachysurus tenuispinis,LD,"IJF 1992,39(1&2) Menon et al",ARIIDAE,0553,Karnataka,SW,1984,1988,"Trawl,Gillnet,PS",14.4,5,C,0.78,3,0.78,2.92,3.7,0,0.7891892,5,0,0,0,0,0,29,82,82,1,0,0,0,0,0,310,560,4,0,0,0.5535714286,2,0,0,275,0.4910714286,6,"Jul,Aug",2,6,100,6,3.44,4,4.166666667,2,662.8,6,4,54
34,Tachysurus tenuispinis,LD,"IJF 1992,39(1&2) Menon et al",ARIIDAE,0553,Kerala,SW,1984,1988,"Trawl,Gillnet",14.4,5,C,0.78,3,0.78,1.43,3.21,0,0.4454829,2,0,0,0,0,0,29,82,82,1,0,0,0,0,0,310,560,4,0,0,0.5535714286,2,0,0,275,0.4910714286,6,"Jul,Aug",2,6,100,6,3.44,4,4.166666667,2,662.8,6,4,51
34,Tachysurus thalassinus,LD,"IJMS, 1997,26 Chakraborty et al",ARIIDAE,0554,Maharashtra,NW,1987,1990,Trawlnet,14.4,5,C,0.28,1,0.52,0.97,1.5,0,0.6466667,4,0,0,0,0,0,0,0,60,1,0,0,0,0,0,100,850,2,0,0,0.1176470588,6,0,0,290,0.3411764706,3,,3,5,100,6,3.44,4,4,2,298.6,4,4,47
